Id,LPG,Air,Other,CO
1,459,383,590,521
2,462,387,592,523
3,467,391,596,530
4,470,393,599,533
5,472,395,604,536
6,474,397,604,539
7,477,400,605,542
8,479,401,606,545
9,481,404,607,548
10,483,406,609,551
11,485,407,611,554
12,487,409,611,556
13,488,410,612,559
14,490,411,614,561
15,490,412,612,561
16,489,412,610,561
17,495,417,617,569
18,498,420,620,573
19,498,420,619,573
20,498,420,618,573
21,497,420,617,573
22,499,422,619,576
23,504,426,624,582
24,496,420,614,574
25,503,426,621,581
26,506,429,625,586
27,512,435,632,593
28,517,440,638,600
29,520,442,640,603
30,522,444,642,606
31,524,446,644,608
32,526,448,646,611
33,528,451,648,614
34,530,453,650,617
35,532,455,651,619
36,533,456,652,621
37,535,458,654,623
38,537,460,655,625
39,538,461,656,627
40,540,463,657,629
41,541,464,658,631
42,543,466,659,633
43,544,468,661,635
44,546,469,662,636
45,547,471,663,638
46,549,472,664,640
47,550,474,666,642
48,551,475,680,644
49,553,477,669,645
50,554,478,670,647
51,556,480,670,649
52,557,481,670,650
53,558,483,671,652
54,560,484,672,653
55,561,486,673,655
56,563,487,674,656
57,564,489,675,658
58,565,490,676,660
59,566,491,677,661
60,568,493,678,663
61,569,494,678,664
62,570,496,679,666
63,572,497,680,667
64,573,499,681,669
65,574,500,682,670
66,575,502,683,671
67,577,503,684,673
68,578,504,684,674
69,579,506,685,676
70,580,507,686,677
71,581,509,687,678
72,582,510,688,680
73,583,511,688,681
74,584,513,689,682
75,585,514,690,684
76,586,516,691,685
77,587,517,692,687
78,588,518,693,688
79,589,520,695,689
80,590,521,694,690
81,591,523,696,692
82,591,524,696,693
83,592,526,696,694
84,593,527,697,696
85,594,528,698,697
86,594,530,698,698
87,595,531,699,700
88,596,533,700,701
89,596,534,700,702
90,597,536,701,703
91,598,537,701,705
92,598,539,702,706
93,599,540,702,707
94,599,540,703,708
95,600,542,704,710
96,600,544,704,711
97,601,546,705,712
98,601,548,705,713
99,602,550,705,715
100,602,551,706,716
101,603,,,
102,603,,,
103,604,,,
104,604,,,
105,604,,,
106,605,,,
107,605,,,
108,605,,,
109,606,,,
110,606,,,
111,606,,,
112,607,,,
113,607,,,
114,607,,,
115,607,,,
116,607,,,
117,608,,,
118,608,,,
119,608,,,
120,608,,,
121,608,,,
122,608,,,
123,609,,,
124,609,,,
125,609,,,
126,609,,,
127,609,,,
128,609,,,
129,609,,,
130,609,,,
131,610,,,
132,610,,,
133,610,,,
134,610,,,
135,610,,,
136,610,,,
137,610,,,
138,610,,,
139,610,,,
140,610,,,
141,611,,,
142,611,,,
143,611,,,
144,611,,,
145,611,,,
146,611,,,
147,611,,,
148,611,,,
149,611,,,
150,611,,,
151,611,,,
152,611,,,
153,611,,,
154,611,,,
155,611,,,
156,611,,,
157,611,,,
158,611,,,
159,611,,,
160,611,,,
161,611,,,
162,611,,,
163,611,,,
164,611,,,
165,610,,,
166,610,,,
167,610,,,
168,610,,,
169,610,,,
170,610,,,
171,610,,,
172,610,,,
173,610,,,
174,610,,,
175,610,,,
176,610,,,
177,610,,,
178,610,,,
179,610,,,
180,610,,,
181,610,,,
182,610,,,
183,610,,,
184,609,,,
185,610,,,
186,610,,,
187,610,,,
188,609,,,
189,609,,,
190,609,,,
191,609,,,
192,609,,,
193,609,,,
194,609,,,
195,609,,,
196,609,,,
197,609,,,
198,609,,,
199,609,,,
200,609,,,
201,608,,,
202,608,,,
203,608,,,
204,608,,,
205,608,,,
206,608,,,
207,608,,,
208,608,,,
209,608,,,
210,608,,,
211,608,,,
212,608,,,
213,608,,,
214,608,,,
215,608,,,
216,608,,,
217,608,,,
218,608,,,
219,608,,,
220,607,,,
221,607,,,
222,607,,,
223,607,,,
224,607,,,
225,607,,,
226,607,,,
227,607,,,
228,607,,,
229,607,,,
230,607,,,
231,607,,,
232,607,,,
233,607,,,
234,607,,,
235,606,,,
236,606,,,
237,606,,,
238,606,,,
239,606,,,
240,606,,,
241,606,,,
242,606,,,
243,606,,,
244,606,,,
245,605,,,
246,605,,,
247,605,,,
248,605,,,
249,605,,,
250,605,,,
251,605,,,
252,605,,,
253,605,,,
254,605,,,
255,605,,,
256,605,,,
257,605,,,
258,605,,,
259,605,,,
260,605,,,
261,604,,,
262,604,,,
263,604,,,
264,604,,,
265,603,,,
266,603,,,
267,603,,,
268,603,,,
269,603,,,
270,603,,,
271,603,,,
272,603,,,
273,603,,,
274,603,,,
275,603,,,
276,603,,,
277,603,,,
278,602,,,
279,602,,,
280,602,,,
281,602,,,
282,602,,,
283,602,,,
284,602,,,
285,602,,,
286,602,,,
287,602,,,
288,602,,,
289,602,,,
290,602,,,
291,601,,,
292,602,,,
293,602,,,
294,601,,,
295,601,,,
296,601,,,
297,601,,,
298,601,,,
299,601,,,
300,601,,,
301,601,,,
302,601,,,
303,601,,,
304,601,,,
305,601,,,
306,601,,,
307,601,,,
308,601,,,
309,601,,,
310,601,,,
311,601,,,
312,601,,,
313,601,,,
314,600,,,
315,600,,,
316,600,,,
317,600,,,
318,600,,,
319,600,,,
320,600,,,
321,600,,,
322,600,,,
323,600,,,
324,600,,,
325,600,,,
326,599,,,
327,599,,,
328,599,,,
329,599,,,
330,599,,,
331,599,,,
332,599,,,
333,599,,,
334,599,,,
335,599,,,
336,599,,,
337,599,,,
338,598,,,
339,598,,,
340,598,,,
341,598,,,
342,598,,,
343,598,,,
344,598,,,
345,598,,,
346,598,,,
347,598,,,
348,598,,,
349,598,,,
350,598,,,
351,597,,,
352,597,,,
353,597,,,
354,597,,,
355,597,,,
356,597,,,
357,597,,,
358,597,,,
359,597,,,
360,597,,,
361,597,,,
362,597,,,
363,597,,,
364,597,,,
365,597,,,
366,596,,,
367,596,,,
368,596,,,
369,596,,,
370,596,,,
371,596,,,
372,596,,,
373,596,,,
374,596,,,
375,596,,,
376,596,,,
377,596,,,
378,596,,,
379,596,,,
380,596,,,
381,596,,,
382,596,,,
383,596,,,
384,595,,,
385,595,,,
386,595,,,
387,595,,,
388,595,,,
389,595,,,
390,595,,,
391,595,,,
392,595,,,
393,595,,,
394,595,,,
395,594,,,
396,594,,,
397,594,,,
398,594,,,
399,594,,,
400,594,,,
401,594,,,
402,594,,,
403,594,,,
404,594,,,
405,594,,,
406,594,,,
407,594,,,
408,594,,,
409,594,,,
410,594,,,
411,594,,,
412,594,,,
413,594,,,
414,594,,,
415,594,,,
416,594,,,
417,594,,,
418,594,,,
419,594,,,
420,594,,,
421,594,,,
422,594,,,
423,594,,,
424,594,,,
425,594,,,
426,594,,,
427,594,,,
428,594,,,
429,594,,,
430,594,,,
431,594,,,
432,594,,,
433,594,,,
434,594,,,
435,593,,,
436,593,,,
437,593,,,
438,593,,,
439,593,,,
440,593,,,
441,593,,,
442,593,,,
443,593,,,
444,593,,,
445,593,,,
446,593,,,
447,593,,,
448,593,,,
449,593,,,
450,593,,,
451,593,,,
452,592,,,
453,592,,,
454,592,,,
455,592,,,
456,592,,,
457,592,,,
458,592,,,
459,592,,,
460,592,,,
461,592,,,
462,592,,,
463,592,,,
464,592,,,
465,592,,,
466,592,,,
467,592,,,
468,592,,,
469,592,,,
470,592,,,
471,592,,,
472,592,,,
473,592,,,
474,592,,,
475,592,,,
476,592,,,
477,591,,,
478,591,,,
479,591,,,
480,591,,,
481,591,,,
482,591,,,
483,591,,,
484,591,,,
485,591,,,
486,591,,,
487,591,,,
488,591,,,
489,591,,,
490,591,,,
491,591,,,
492,591,,,
493,591,,,
494,591,,,
495,591,,,
496,590,,,
497,590,,,
498,590,,,
499,590,,,
500,590,,,
501,590,,,
502,590,,,
503,590,,,
504,590,,,
505,590,,,
506,590,,,
507,590,,,
508,590,,,
509,590,,,
510,590,,,
511,590,,,
512,590,,,
513,590,,,
514,590,,,
515,590,,,
516,589,,,
517,590,,,
518,589,,,
519,589,,,
520,589,,,
521,589,,,
522,589,,,
523,589,,,
524,589,,,
525,589,,,
526,589,,,
527,589,,,
528,589,,,
529,589,,,
530,589,,,
531,589,,,
532,589,,,
533,589,,,
534,589,,,
535,589,,,
536,589,,,
537,589,,,
538,589,,,
539,589,,,
540,589,,,
541,589,,,
542,588,,,
543,588,,,
544,588,,,
545,588,,,
546,588,,,
547,588,,,
548,588,,,
549,588,,,
550,588,,,
551,588,,,
552,588,,,
553,588,,,
554,587,,,
555,587,,,
556,587,,,
557,587,,,
558,587,,,
559,587,,,
560,587,,,
561,587,,,
562,587,,,
563,587,,,
564,587,,,
565,587,,,
566,587,,,
567,587,,,
568,587,,,
569,587,,,
570,587,,,
571,587,,,
572,587,,,
573,587,,,
574,587,,,
575,587,,,
576,587,,,
577,587,,,
578,587,,,
579,587,,,
580,587,,,
581,587,,,
582,587,,,
583,587,,,
584,586,,,
585,587,,,
586,587,,,
587,587,,,
588,587,,,
589,587,,,
590,586,,,
591,586,,,
592,586,,,
593,586,,,
594,586,,,
595,586,,,
596,586,,,
597,586,,,
598,586,,,
599,586,,,
600,586,,,
601,586,,,
602,586,,,
603,586,,,
604,587,,,
605,586,,,
606,586,,,
607,585,,,
608,586,,,
609,585,,,
610,586,,,
611,586,,,
612,586,,,
613,586,,,
614,586,,,
615,585,,,
616,586,,,
617,586,,,
618,586,,,
619,585,,,
620,585,,,
621,585,,,
622,585,,,
623,585,,,
624,585,,,
625,585,,,
626,585,,,
627,585,,,
628,585,,,
629,585,,,
630,585,,,
631,585,,,
632,585,,,
633,585,,,
634,585,,,
635,585,,,
636,585,,,
637,585,,,
638,585,,,
639,585,,,
640,585,,,
641,585,,,
642,585,,,
643,585,,,
644,585,,,
645,585,,,
646,584,,,
647,585,,,
648,584,,,
649,584,,,
650,584,,,
651,584,,,
652,585,,,
653,585,,,
654,585,,,
655,584,,,
656,584,,,
657,584,,,
658,584,,,
659,584,,,
660,584,,,
661,584,,,
662,583,,,
